"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"RS_MN006","2564","20130701","0.3","9","1"
"RS_MN006","2564","20130702","0.1","9","1"
"RS_MN006","2564","20130703","10.2","9","1"
"RS_MN006","2564","20130704","0","9","1"
"RS_MN006","2564","20130705","0","9","1"
"RS_MN006","2564","20130706","0","9","1"
"RS_MN006","2564","20130707","0","9","1"
"RS_MN006","2564","20130708","0","9","1"
"RS_MN006","2564","20130709","0","9","1"
"RS_MN006","2564","20130710","0","9","1"
"RS_MN006","2564","20130711","0","9","1"
"RS_MN006","2564","20130712","0","9","1"
"RS_MN006","2564","20130713","0","9","1"
"RS_MN006","2564","20130714","0","9","1"
"RS_MN006","2564","20130715","0","9","1"
"RS_MN006","2564","20130716","0","9","1"
"RS_MN006","2564","20130717","0","9","1"
"RS_MN006","2564","20130718","0","9","1"
"RS_MN006","2564","20130719","0","9","1"
"RS_MN006","2564","20130720","0","9","1"
"RS_MN006","2564","20130721","0","9","1"
"RS_MN006","2564","20130722","0","9","1"
"RS_MN006","2564","20130723","0","9","1"
"RS_MN006","2564","20130724","2.1","9","1"
"RS_MN006","2564","20130725","0.1","9","1"
"RS_MN006","2564","20130726","0","9","1"
"RS_MN006","2564","20130727","24.4","9","1"
"RS_MN006","2564","20130728","0","9","1"
"RS_MN006","2564","20130729","0.5","9","1"
"RS_MN006","2564","20130730","19.9","9","1"
"RS_MN006","2564","20130731","0.4","9","1"
"RS_MN006","2564","20130801","0","9","1"
"RS_MN006","2564","20130802","0","9","1"
"RS_MN006","2564","20130803","2.3","9","1"
"RS_MN006","2564","20130804","0","9","1"
"RS_MN006","2564","20130805","0","9","1"
"RS_MN006","2564","20130806","0","9","1"
"RS_MN006","2564","20130807","13.4","9","1"
"RS_MN006","2564","20130808","0","9","1"
"RS_MN006","2564","20130809","0.2","9","1"
"RS_MN006","2564","20130810","1.2","9","1"
"RS_MN006","2564","20130811","11.1","9","1"
"RS_MN006","2564","20130812","2.9","9","1"
"RS_MN006","2564","20130813","5.2","9","1"
"RS_MN006","2564","20130814","0","9","1"
"RS_MN006","2564","20130815","0.1","9","1"
"RS_MN006","2564","20130816","8.2","9","1"
"RS_MN006","2564","20130817","0.2","9","1"
"RS_MN006","2564","20130818","1","9","1"
"RS_MN006","2564","20130819","0","9","1"
"RS_MN006","2564","20130820","0","9","1"
"RS_MN006","2564","20130821","0","9","1"
"RS_MN006","2564","20130822","0","9","1"
"RS_MN006","2564","20130823","0","9","1"
"RS_MN006","2564","20130824","0","9","1"
"RS_MN006","2564","20130825","0","9","1"
"RS_MN006","2564","20130826","0","9","1"
"RS_MN006","2564","20130827","0","9","1"
"RS_MN006","2564","20130828","0","9","1"
"RS_MN006","2564","20130829","0","9","1"
"RS_MN006","2564","20130830","0","9","1"
"RS_MN006","2564","20130831","1.6","9","1"
"RS_MN006","2564","20130901","8.3","9","1"
"RS_MN006","2564","20130902","4.8","9","1"
"RS_MN006","2564","20130903","0","9","1"
"RS_MN006","2564","20130904","0","9","1"
"RS_MN006","2564","20130905","0","9","1"
"RS_MN006","2564","20130906","0","9","1"
"RS_MN006","2564","20130907","0","9","1"
"RS_MN006","2564","20130908","0.8","9","1"
"RS_MN006","2564","20130909","17.2","9","1"
"RS_MN006","2564","20130910","1.8","9","1"
"RS_MN006","2564","20130911","0.1","9","1"
"RS_MN006","2564","20130912","0.2","9","1"
"RS_MN006","2564","20130913","0","9","1"
"RS_MN006","2564","20130914","6","9","1"
"RS_MN006","2564","20130915","6.7","9","1"
"RS_MN006","2564","20130916","1.9","9","1"
"RS_MN006","2564","20130917","3.7","9","1"
"RS_MN006","2564","20130918","0","9","1"
"RS_MN006","2564","20130919","1.3","9","1"
"RS_MN006","2564","20130920","0","9","1"
"RS_MN006","2564","20130921","0","9","1"
"RS_MN006","2564","20130922","0.1","9","1"
"RS_MN006","2564","20130923","0","9","1"
"RS_MN006","2564","20130924","0","9","1"
"RS_MN006","2564","20130925","16.7","9","1"
"RS_MN006","2564","20130926","1","9","1"
"RS_MN006","2564","20130927","0.7","9","1"
"RS_MN006","2564","20130928","0","9","1"
"RS_MN006","2564","20130929","0","9","1"
"RS_MN006","2564","20130930","0","9","1"
"RS_MN006","2564","20131001","0","9","1"
"RS_MN006","2564","20131002","0","9","1"
"RS_MN006","2564","20131003","0","9","1"
