"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"SDK_MN004","2564","20130701","6","3","0"
"SDK_MN004","2564","20130702","8.5","3","0"
"SDK_MN004","2564","20130703","2","3","0"
"SDK_MN004","2564","20130704","0.2","3","0"
"SDK_MN004","2564","20130705","8.1","3","0"
"SDK_MN004","2564","20130706","16","3","0"
"SDK_MN004","2564","20130707","15.1","3","0"
"SDK_MN004","2564","20130708","14.5","3","0"
"SDK_MN004","2564","20130709","14.5","3","0"
"SDK_MN004","2564","20130710","11.4","3","0"
"SDK_MN004","2564","20130711","14.8","3","0"
"SDK_MN004","2564","20130712","14.4","3","0"
"SDK_MN004","2564","20130713","8.7","3","0"
"SDK_MN004","2564","20130714","6.2","3","0"
"SDK_MN004","2564","20130715","7.9","3","0"
"SDK_MN004","2564","20130716","9.2","3","0"
"SDK_MN004","2564","20130717","9.1","3","0"
"SDK_MN004","2564","20130718","13.2","3","0"
"SDK_MN004","2564","20130719","9","3","0"
"SDK_MN004","2564","20130720","15.6","3","0"
"SDK_MN004","2564","20130721","15.7","3","0"
"SDK_MN004","2564","20130722","15.6","3","0"
"SDK_MN004","2564","20130723","15.3","3","0"
"SDK_MN004","2564","20130724","10.3","3","0"
"SDK_MN004","2564","20130725","8.2","3","0"
"SDK_MN004","2564","20130726","6.6","3","0"
"SDK_MN004","2564","20130727","8.8","3","0"
"SDK_MN004","2564","20130728","6.8","3","0"
"SDK_MN004","2564","20130729","7","3","0"
"SDK_MN004","2564","20130730","7.8","3","0"
"SDK_MN004","2564","20130731","9.3","3","0"
"SDK_MN004","2564","20130801","5.3","3","0"
"SDK_MN004","2564","20130802","15","3","0"
"SDK_MN004","2564","20130803","7.1","3","0"
"SDK_MN004","2564","20130804","11.3","3","0"
"SDK_MN004","2564","20130805","11.4","3","0"
"SDK_MN004","2564","20130806","9.5","3","0"
"SDK_MN004","2564","20130807","8.7","3","0"
"SDK_MN004","2564","20130808","0.8","3","0"
"SDK_MN004","2564","20130809","9.4","3","0"
"SDK_MN004","2564","20130810","4.5","3","0"
"SDK_MN004","2564","20130811","3.1","3","0"
"SDK_MN004","2564","20130812","2.3","3","0"
"SDK_MN004","2564","20130813","9.2","3","0"
"SDK_MN004","2564","20130814","10.2","3","0"
"SDK_MN004","2564","20130815","7.7","3","0"
"SDK_MN004","2564","20130816","5.5","3","0"
"SDK_MN004","2564","20130817","3.9","3","0"
"SDK_MN004","2564","20130818","0.7","3","0"
"SDK_MN004","2564","20130819","5.5","3","0"
"SDK_MN004","2564","20130820","4.7","3","0"
"SDK_MN004","2564","20130821","9.6","3","0"
"SDK_MN004","2564","20130822","7.2","3","0"
"SDK_MN004","2564","20130823","12.4","3","0"
"SDK_MN004","2564","20130824","13.5","3","0"
"SDK_MN004","2564","20130825","13.5","3","0"
"SDK_MN004","2564","20130826","13.5","3","0"
"SDK_MN004","2564","20130827","11.1","3","0"
"SDK_MN004","2564","20130828","11.1","3","0"
"SDK_MN004","2564","20130829","8.5","3","0"
"SDK_MN004","2564","20130830","0.8","3","0"
"SDK_MN004","2564","20130831","3.7","3","0"
"SDK_MN004","2564","20130901","3.9","3","0"
"SDK_MN004","2564","20130902","0","3","0"
"SDK_MN004","2564","20130903","0.7","3","0"
"SDK_MN004","2564","20130904","2.4","3","0"
"SDK_MN004","2564","20130905","12.3","3","0"
"SDK_MN004","2564","20130906","12.4","3","0"
"SDK_MN004","2564","20130907","6.4","3","0"
"SDK_MN004","2564","20130908","1.1","3","0"
"SDK_MN004","2564","20130909","0","3","0"
"SDK_MN004","2564","20130910","3.3","3","0"
"SDK_MN004","2564","20130911","1.1","3","0"
"SDK_MN004","2564","20130912","1.9","3","0"
"SDK_MN004","2564","20130913","3.3","3","0"
"SDK_MN004","2564","20130914","4.1","3","0"
"SDK_MN004","2564","20130915","4","3","0"
"SDK_MN004","2564","20130916","4.8","3","0"
"SDK_MN004","2564","20130917","6.5","3","0"
"SDK_MN004","2564","20130918","6.1","3","0"
"SDK_MN004","2564","20130919","6.4","3","0"
"SDK_MN004","2564","20130920","0.6","3","0"
"SDK_MN004","2564","20130921","1.1","3","0"
"SDK_MN004","2564","20130922","1.9","3","0"
"SDK_MN004","2564","20130923","1.3","3","0"
"SDK_MN004","2564","20130924","1.8","3","0"
"SDK_MN004","2564","20130925","1.3","3","0"
"SDK_MN004","2564","20130926","9.2","3","0"
"SDK_MN004","2564","20130927","4.3","3","0"
"SDK_MN004","2564","20130928","9.9","3","0"
"SDK_MN004","2564","20130929","9.8","3","0"
"SDK_MN004","2564","20130930","10.1","3","0"
"SDK_MN004","2564","20131001","9.9","3","0"
"SDK_MN004","2564","20131002","10.2","3","0"
"SDK_MN004","2564","20131003","9.6","3","0"
"SDK_MN004","2564","20131004","2.5","3","0"
"SDK_MN004","2564","20131005","0.2","3","0"
"SDK_MN004","2564","20131006","0.4","3","0"
"SDK_MN004","2564","20131007","6.8","3","0"
"SDK_MN004","2564","20131008","2.1","3","0"
"SDK_MN004","2564","20131009","0.1","3","0"
"SDK_MN004","2564","20131010","3.2","3","0"
"SDK_MN004","2564","20131011","0.8","3","0"
"SDK_MN004","2564","20131012","0","3","0"
"SDK_MN004","2564","20131013","1.5","3","0"
"SDK_MN004","2564","20131014","5.9","3","0"
"SDK_MN004","2564","20131015","0","3","0"
"SDK_MN004","2564","20131016","0.2","3","0"
"SDK_MN004","2564","20131017","0","3","0"
"SDK_MN004","2564","20131018","7.3","3","0"
"SDK_MN004","2564","20131019","0","3","0"
"SDK_MN004","2564","20131020","0.3","3","0"
"SDK_MN004","2564","20131021","0.2","3","0"
"SDK_MN004","2564","20131022","6.8","3","0"
"SDK_MN004","2564","20131023","0.4","3","0"
"SDK_MN004","2564","20131024","3","3","0"
"SDK_MN004","2564","20131025","0.3","3","0"
"SDK_MN004","2564","20131026","2.8","3","0"
"SDK_MN004","2564","20131027","1.9","3","0"
"SDK_MN004","2564","20131028","0.4","3","0"
"SDK_MN004","2564","20131029","0.5","3","0"
"SDK_MN004","2564","20131030","3.3","3","0"
"SDK_MN004","2564","20131031","3.9","3","0"
"SDK_MN004","2564","20131101","0","3","0"
"SDK_MN004","2564","20131102","0.1","3","0"
"SDK_MN004","2564","20131103","1.4","3","0"
"SDK_MN004","2564","20131104","0","3","0"
"SDK_MN004","2564","20131105","2.8","3","0"
"SDK_MN004","2564","20131106","3.1","3","0"
"SDK_MN004","2564","20131107","1.6","3","0"
"SDK_MN004","2564","20131108","4.7","3","0"
"SDK_MN004","2564","20131109","1.4","3","0"
"SDK_MN004","2564","20131110","4.6","3","0"
"SDK_MN004","2564","20131111","4.6","3","0"
"SDK_MN004","2564","20131112","0","3","0"
"SDK_MN004","2564","20131113","5.4","3","0"
"SDK_MN004","2564","20131114","1.3","3","0"
"SDK_MN004","2564","20131115","0","3","0"
"SDK_MN004","2564","20131116","0","3","0"
"SDK_MN004","2564","20131117","3.9","3","0"
"SDK_MN004","2564","20131118","0","3","0"
"SDK_MN004","2564","20131119","0","3","0"
"SDK_MN004","2564","20131120","1.1","3","0"
"SDK_MN004","2564","20131121","5","3","0"
"SDK_MN004","2564","20131122","0","3","0"
"SDK_MN004","2564","20131123","3.8","3","0"
"SDK_MN004","2564","20131124","5","3","0"
"SDK_MN004","2564","20131125","5.7","3","0"
"SDK_MN004","2564","20131126","4","3","0"
"SDK_MN004","2564","20131127","0","3","0"
"SDK_MN004","2564","20131128","3","3","0"
"SDK_MN004","2564","20131129","0","3","0"
"SDK_MN004","2564","20131130","0","3","0"
"SDK_MN004","2564","20131201","0.5","3","0"
"SDK_MN004","2564","20131202","1.9","3","0"
"SDK_MN004","2564","20131203","0","3","0"
"SDK_MN004","2564","20131204","0","3","0"
"SDK_MN004","2564","20131205","0","3","0"
"SDK_MN004","2564","20131206","0.2","3","0"
"SDK_MN004","2564","20131207","1.7","3","0"
"SDK_MN004","2564","20131208","0","3","0"
"SDK_MN004","2564","20131209","0","3","0"
"SDK_MN004","2564","20131210","0","3","0"
"SDK_MN004","2564","20131211","0","3","0"
"SDK_MN004","2564","20131212","0","3","0"
"SDK_MN004","2564","20131213","0","3","0"
"SDK_MN004","2564","20131214","0","3","0"
"SDK_MN004","2564","20131215","0","3","0"
"SDK_MN004","2564","20131216","0","3","0"
"SDK_MN004","2564","20131217","0.1","3","0"
"SDK_MN004","2564","20131218","0.2","3","0"
"SDK_MN004","2564","20131219","0","3","0"
"SDK_MN004","2564","20131220","0","3","0"
"SDK_MN004","2564","20131221","0","3","0"
"SDK_MN004","2564","20131222","0.1","3","0"
"SDK_MN004","2564","20131223","2","3","0"
"SDK_MN004","2564","20131224","0","3","0"
"SDK_MN004","2564","20131225","0.3","3","0"
"SDK_MN004","2564","20131226","0","3","0"
